IME_KO,LAT,LONG
ADLEŠIČI,45.5215037,15.3136555
AJDOVŠČINA,45.8885557,13.9048561
BABNA GORA,46.0368564,14.6382158
BEŽIGRAD,46.0715873,14.5108434
BIZELJSKO,46.0144647,15.6933384
BIZOVIK,46.0354856,14.5679246
BLEČJI VRH,45.9870535,14.7200714
BRDO,45.548376,13.8438367
BREG,46.0417941,15.2355732
BREZOVICA,45.9480324,14.4180336
BREŽICE,45.9038696,15.5930859
BRINJE I,45.959182,14.6559843
BRINJE II,45.9621272,14.6559174
BUKOVICA,46.2560569,15.4779984
CESTA,45.9436897,14.8899936
DOBRAVICA,45.8448399,15.324142
DOBROVA,46.3250172,14.8802787
DOBRUNJE,46.0378974,14.5842917
DOL PRI LJUBLJANI,46.0883398,14.6415113
DOLSKO,46.0941727,14.6776211
DOMŽALE,46.1394296,14.5944553
DRAGOMELJ,46.1081224,14.5942288
DRAVLJE,46.0811396,14.4752006
DUPLJE,45.8624984,13.9473857
GAMELJNE,46.1268073,14.4971158
GLINCE,46.0840005,14.4415309
GODIČ,46.2525738,14.6125596
GOLO,45.776488,14.4457325
GOLO BRDO,45.5656317,13.8507722
GOLOVEC,46.0453759,14.5599129
GORENJA VAS,46.1051249,14.1447603
GOTNA VAS,45.7892997,15.180396
GOTOVLJE,46.2589978,15.1554611
GOZD,46.340402,14.3350545
GRADIŠČE,46.0286971,14.6261252
GRADIŠČE I,45.919553,14.5849226
GRADIŠČE II,45.8432321,14.5750501
GRIČ,45.8536749,15.159464
HOTEDRŠICA,45.9305288,14.1397406
HRAŠE,46.1736041,14.446569
IG,45.9592409,14.5276014
IŠKA LOKA,45.9710424,14.514726
IŠKA VAS,45.9403653,14.5111952
JAVOR,45.5968469,14.0537878
JEZERO,45.579341,13.9625609
JEŽICA,46.0935183,14.5167597
KAMNIK,46.2257358,14.6118936
KAŠELJ,46.0518402,14.6097317
KRIŽEVSKA VAS,45.6373467,15.3163063
KRŠKO,45.9576446,15.4946767
LANIŠČE,46.0352426,14.7144821
LAZE,46.0883058,14.6876693
LIPOGLAV,46.0032071,15.2297759
LJUBLJANA MESTO,46.0501085,14.5208005
MEDLOG,46.2388291,15.2350734
MEDVODE,46.1402285,14.4130728
MOSTE,46.0567618,14.5334126
MOŠE,46.1850831,14.4106796
NADGORICA,46.0994487,14.5577266
NEVLJE,46.2315507,14.6241335
NOVE JARŠE,46.0728549,14.5441226
PEKRE,46.5433374,15.5925529
PETELINJE,45.6907865,14.1965287
PIJAVA GORICA,45.9522388,14.5729129
PIVOLA,46.4903217,15.610422
PODGORICA,45.8438304,14.7010685
PODGORJE,45.5297499,13.9514932
PODMOLNIK,46.0200593,14.5966056
PODSMREKA,46.0387471,14.4288652
PRESERJE,45.9653469,14.3957537
PRESKA,45.710302,14.1595496
PREVOJE,46.1625428,14.6644837
PRIMSKOVO,46.2475995,14.3727178
PRULE,46.0440116,14.5085995
PŠATA,46.0964815,14.6128201
RADOVLJICA,46.343509,14.1720227
RAKITNA,45.8910867,14.4405105
RAČICA,46.0531894,15.2156665
RAŠICA,46.1357719,14.510431
REPNJE,46.170537,14.4804122
RUDNIK,46.0279462,14.5300442
SEMEDELA,45.5397209,13.7162091
SENICA,45.9325755,15.3851291
SENOŽETI,46.0910265,14.733694
SLAPE,46.0507319,14.5810452
SMLEDNIK,45.6180021,15.19443
SOSTRO,46.0354884,14.607094
SPODNJA ŠIŠKA,46.0698225,14.4971534
SPODNJE PIRNIČE,46.1328402,14.4372182
STANEŽIČE,46.1101203,14.4371496
STARI DVOR,46.1704198,14.3241823
STOŽICE,46.0858478,14.5209877
STRANJE,46.2204968,15.5640204
TABOR,46.235054,15.0153081
TACEN,46.1200072,14.4660151
TENETIŠE,46.2965356,14.3473484
TEZNO,46.5333478,15.6703044
TOMIŠELJ,45.9639945,14.4812746
TREBELJEVO,46.0135453,14.7385006
TREBNJE,45.9079394,15.0071462
TRZIN,46.1335622,14.5624892
TUČNA,46.2483913,14.6370519
UDMAT,46.1473802,15.2037287
ULAKA,45.7156631,14.4638756
VELIKE LIPLJENE,45.904011,14.6370429
VESCA,46.1571016,14.5078696
VINJE,46.1612138,14.7346267
VINO,45.9411269,14.6032382
VIŽMARJE,46.1045264,14.4628856
VODICE,46.1892186,14.4946848
VODUCE,46.1607114,15.4340676
VOLAVLJE,46.0326553,14.7164304
VRBLJENE,45.9519777,14.4901881
ZADOBROVA,46.2647877,15.299256
ZAPOTOK,45.7602993,14.6756145
ZELENA JAMA,46.0620762,14.5300866
ZGORNJA ŠIŠKA,46.0715216,14.4775949
ZGORNJE PIRNIČE,46.1416436,14.4265114
ZVIRČE,46.3325303,14.2801951
ČRNA,46.2636791,14.6629863
ČRNC,45.9150918,15.6015444
ČRNUČE,46.1050061,14.5328616
ŠEMPETER,45.9178093,13.6517004
ŠENTPETER,45.8345505,15.221421
ŠMARTNO,46.1250909,14.4760651
ŠMARTNO OB SAVI,46.077495,14.5541486
ŠMARTNO POD ŠMARNO GORO,46.1345521,14.4779676
ŠTEPANJA VAS,46.0440471,14.5445072
ŠUJICA,45.784569,14.314983
ŽELIMLJE,45.9188643,14.5715716
ŽLEBE,46.1227756,14.399439
ŽUPANJE NJIVE,46.2692162,14.5973086
VIČ,46.0251,14.4641
TRNOVSKO PREDMESTJE,46.02412000,14.48891000  
ŠENTVID NAD LJUBLJANO,46.10559000,14.43329000  
