ID_POSLA,SIFRA_KO,IME_KO,OBCINA,PARCELNA_STEVILKA,VRSTA_ZEMLJISCA,VRSTA_TRAJNEGA_NASADA,STAROST_TRAJNEGA_NASADA,PRODANI_DELEZ_PARCELE,OPOMBE_O_NEPREMICNINI,POVRSINA_PARCELE,POGODBENA_CENA_PARCELE,STOPNJA_DDV_PARCELE,E_CENTROID,N_CENTROID,LETO,RPE_OBCINE_SIFRA
-84769,1723,VIČ,LJUBLJANA,2099/24,10,,,1/19,,670,,,458304.44,99090.56,2007,61
-84707,1707,IŠKA VAS,LJUBLJANA,1642/98,3,,,2/5,,525,,,462011.96,88868.91,2007,61
-84696,1741,VODICE,LJUBLJANA,1270/27,3,,,1/1,,541,,,460386.98,116447.57,2007,61
-80017,1735,STOŽICE,LJUBLJANA,754/9,5,,,1/1,,171,,,,,2007,61
-79496,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,957/7,3,,,1/1,,601,,,461686.88,98639.48,2007,61
-79442,1772,SLAPE,LJUBLJANA,297/10,10,,,1/1,,9,,,467350.42,102373.42,2007,61
-79442,1772,SLAPE,LJUBLJANA,297/16,3,,,766/10000,,837,,,467295.29,102381.33,2007,61
-79442,1772,SLAPE,LJUBLJANA,297/14,10,,,1/1,,68,,,467358.14,102340.74,2007,61
-79442,1772,SLAPE,LJUBLJANA,297/11,10,,,1/1,,64,,,467373.58,102344.75,2007,61
-79406,1725,AJDOVŠČINA,LJUBLJANA,2316,10,,,659/10000,,662,,,461500.38,102008.93,2007,61
-79406,1725,AJDOVŠČINA,LJUBLJANA,2317,5,,,659/10000,,32,,,,,2007,61
-79399,1756,ČRNUČE,LJUBLJANA,603/1,10,,,1/1,,192,,,464265,107338.4,2007,61
-79399,1756,ČRNUČE,LJUBLJANA,603/1,5,,,1/1,,138,,,,,2007,61
-79398,2636,BEŽIGRAD,LJUBLJANA,2121/2,10,,,1/1,,20,,,461818.28,102531.19,2007,61
-79398,2636,BEŽIGRAD,LJUBLJANA,2121/4,5,,,1/1,,60,,,,,2007,61
-79397,1738,DRAVLJE,LJUBLJANA,809/270,5,,,1/1,,34,,,,,2007,61
-79396,1756,ČRNUČE,LJUBLJANA,553/19,3,,,1/1,,188,,,463805.88,107601.06,2007,61
-79395,1756,ČRNUČE,LJUBLJANA,553/6,5,,,1/1,,272,,,,,2007,61
-79276,1756,ČRNUČE,LJUBLJANA,241/103,3,,,1/1,,21,,,463446.15,107678.74,2007,61
-79276,1756,ČRNUČE,LJUBLJANA,241/102,3,,,1/1,,78,,,463439.77,107679.12,2007,61
-79276,1756,ČRNUČE,LJUBLJANA,241/105,3,,,1/1,,33,,,463446.29,107673.33,2007,61
-79148,1736,BRINJE I,LJUBLJANA,323/2,5,,,1/1,,650,,,,,2007,61
-79118,1754,ŠENTVID NAD LJUBLJANO,LJUBLJANA,1765/11,3,,,311/10000,,93,,,458123.84,105539.64,2007,61
-79118,1754,ŠENTVID NAD LJUBLJANO,LJUBLJANA,1712/6,3,,,276/10000,,23,,,457953.25,105457.89,2007,61
-79118,1754,ŠENTVID NAD LJUBLJANO,LJUBLJANA,1771/1,9,,,311/10000,,1952,,,457955.02,105589.98,2007,61
-79118,1754,ŠENTVID NAD LJUBLJANO,LJUBLJANA,1767/2,7,,,311/10000,,4235,,,457886.74,105476.74,2007,61
-79118,1754,ŠENTVID NAD LJUBLJANO,LJUBLJANA,1771/2,7,,,311/10000,,2137,,,457998.16,105589.71,2007,61
-79118,1754,ŠENTVID NAD LJUBLJANO,LJUBLJANA,1765/10,3,,,311/10000,,34,,,458128.28,105532.95,2007,61
-79118,1754,ŠENTVID NAD LJUBLJANO,LJUBLJANA,1712/1,3,,,311/10000,,3891,,,457958.85,105444.23,2007,61
-79118,1754,ŠENTVID NAD LJUBLJANO,LJUBLJANA,1765/1,3,,,311/10000,,11324,,,458021.98,105506.07,2007,61
-79118,1754,ŠENTVID NAD LJUBLJANO,LJUBLJANA,1712/2,7,,,369/10000,,2622,,,457898.62,105434.4,2007,61
-79118,1754,ŠENTVID NAD LJUBLJANO,LJUBLJANA,1764/4,3,,,311/10000,,129,,,458140.06,105557.23,2007,61
-79118,1754,ŠENTVID NAD LJUBLJANO,LJUBLJANA,1712/5,3,,,276/10000,,31,,,457946.62,105451.92,2007,61
-79118,1754,ŠENTVID NAD LJUBLJANO,LJUBLJANA,1712/3,5,,,311/10000,,95,,,,,2007,61
-79118,1754,ŠENTVID NAD LJUBLJANO,LJUBLJANA,1765/6,5,,,43/100,,410,,,,,2007,61
-79118,1754,ŠENTVID NAD LJUBLJANO,LJUBLJANA,1765/4,5,,,376/10000,,5432,,,,,2007,61
-79118,1754,ŠENTVID NAD LJUBLJANO,LJUBLJANA,1765/7,5,,,8/100,,146,,,,,2007,61
-79056,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,250/895,10,,,1/1,,18,,,462034.03,100053.63,2007,61
-78912,1736,BRINJE I,LJUBLJANA,327/1,10,,,1/1,,260,,,,,2007,61
-78912,1736,BRINJE I,LJUBLJANA,328/3,10,,,1/2,,102,,,462354.32,104600.62,2007,61
-78912,1736,BRINJE I,LJUBLJANA,326,10,,,1/2,,470,,,462332.7,104617.75,2007,61
-78912,1736,BRINJE I,LJUBLJANA,328/2,10,,,1/1,,176,,,,,2007,61
-78912,1736,BRINJE I,LJUBLJANA,328/4,10,,,1/2,,166,,,462336.04,104606.67,2007,61
-78754,1740,SPODNJA ŠIŠKA,LJUBLJANA,772,5,,,1/1,,419,,,,,2007,61
-78727,1753,VIŽMARJE,LJUBLJANA,1674/1,5,,,1/1,,458,,,,,2007,61
-78723,1756,ČRNUČE,LJUBLJANA,1085/2,3,,,1/3,,743,,,465050.11,106766.46,2007,61
-78588,1735,STOŽICE,LJUBLJANA,1431/4,5,,,1/1,,159,,,,,2007,61
