ID_POSLA,SIFRA_KO,IME_KO,OBCINA,STEVILKA_STAVBE,STEVILKA_DELA_STAVBE,PARCELNA_STEVILKA_ZA_GEOLOKACIJO,INTERNA_OZNAKA_DELA_STAVBE,EVIDENTIRANOST_DELA_STAVBE,NASELJE,ULICA,HISNA_STEVILKA,DODATEK_HS,STEVILKA_STANOVANJA_ALI_POSLOVNEGA_PROSTORA,VRSTA_DELA_STAVBE,LETO_IZGRADNJE_DELA_STAVBE,STAVBA_JE_DOKONCANA,GRADBENA_FAZA,NOVOGRADNJA,PRODANA_POVRSINA,PRODANI_DELEZ_DELA_STAVBE,PRODANA_POVRSINA_DELA_STAVBE,PRODANA_UPORABNA_POVRSINA_DELA_STAVBE,NADSTROPJE_DELA_STAVBE,STEVILO_ZUNANJIH_PARKIRNIH_MEST,ATRIJ,POVRSINA_ATRIJA,OPOMBE_O_NEPREMICNINI,DEJANSKA_RABA_DELA_STAVBE,LEGA_DELA_STAVBE_V_STAVBI,STEVILO_SOB,POVRSINA_DELA_STAVBE,UPORABNA_POVRSINA,PROSTORI_DELA_STAVBE,POGODBENA_CENA_DELA_STAVBE,STOPNJA_DDV_DELA_STAVBE,E_CENTROID,N_CENTROID,LETO,RPE_OBCINE_SIFRA
813496,1739,ZGORNJA ŠIŠKA,LJUBLJANA,7025,578,,,1,,,,,,3,2023,1,,1,13.2,1/1,,,,,0,,,16 - garažno parkirno mesto,klet,,13.2,13.2, garažni parkirni prostor,,,460079.67,104206.21,2024,61
824655,2706,ZELENA JAMA,LJUBLJANA,657,28,,,1,LJUBLJANA,JELINČIČEVA ULICA,3,,28,2,2023,1,,1,72.2,1/1,,,,,0,,,2 - stanovanje,nadstropje,,72.2,66.2," bivalni prostor | odprta terasa, balkon, loža",,,463741.78,102921.02,2024,61
823096,1726,ŠENTPETER,LJUBLJANA,49,55,,,1,LJUBLJANA,ŠMARTINSKA CESTA,24,,14,2,1930,1,,,45.9,24259/638640,,,,,0,,,2 - stanovanje,nadstropje,,45.9,39.2," bivalni prostor | odprta terasa, balkon, loža",,,462925.88,102103.76,2024,61
829611,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,8803,3,,,1,ČRNA VAS,ČRNA VAS,167,a,1,2,2017,1,,,158,1/1,,,,,0,,,47 - stanovanje v dvostanovanjski stavbi,pritličje,,158,107.3," bivalni prostor | odprta terasa, balkon, loža | shramba, sušilnica, pralnica",,,460634.52,96372.48,2024,61
824640,1771,ZADOBROVA,LJUBLJANA,2727,1,,,1,LJUBLJANA,"NOVO POLJE, CESTA XI",2,b,,1,2022,1,,1,212.1,1/1,,,,,0,,,1 - stanovanje v enostanovanjski stavbi,pritličje,,207.4,168.4," bivalni prostor | odprta terasa, balkon, loža",,,467702.67,102660.98,2024,61
832260,1725,AJDOVŠČINA,LJUBLJANA,596,207,,,1,,,,,,3,2023,1,,1,13.1,1/1,,,,,0,,,16 - garažno parkirno mesto,klet,,13.1,13.1, garažni parkirni prostor,,,461449.36,101847.67,2024,61
811117,1740,SPODNJA ŠIŠKA,LJUBLJANA,3614,445,,,1,,,,,,3,2019,1,,,13.3,1/1,,,,,0,,,16 - garažno parkirno mesto,klet,,13.5,13.5, garažni parkirni prostor,,,461185.01,102613.07,2024,61
830155,1739,ZGORNJA ŠIŠKA,LJUBLJANA,7025,322,,,1,,,,,,3,2023,1,,1,17.2,1/1,,,,,0,,,16 - garažno parkirno mesto,klet,,17.2,17.2, garažni parkirni prostor,,,460079.67,104206.21,2024,61
817027,2636,BEŽIGRAD,LJUBLJANA,3626,355,,,1,LJUBLJANA,KRŽIČEVA ULICA,3,,,3,1996,1,,,12.3,1/1,,,,,0,,,16 - garažno parkirno mesto,klet,,12.3,12.3, garažni parkirni prostor,,,462099.72,103005.67,2024,61
834666,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,118,15,,,1,LJUBLJANA,DOLENJSKA CESTA,38,,15,2,1966,1,,,51.3,1/1,,,,,0,,,2 - stanovanje,nadstropje,,51.3,46.8," bivalni prostor | klet | odprta terasa, balkon, loža",,,462710.95,99913.41,2024,61
820800,1727,POLJANSKO PREDMESTJE,LJUBLJANA,1063,116,,,1,LJUBLJANA,MESARSKA CESTA,30,,116,2,2006,1,,,215.3,1/1,,,,,0,,,2 - stanovanje,nadstropje,,215.3,132.1," bivalni prostor | odprta terasa, balkon, loža | zaprta terasa, balkon, loža",,,463069.55,100949.39,2024,61
813132,1739,ZGORNJA ŠIŠKA,LJUBLJANA,7025,286,,,1,,,,,,3,2023,1,,1,12.8,1/1,,,,,0,,,16 - garažno parkirno mesto,klet,,12.8,12.8, garažni parkirni prostor,,,460079.67,104206.21,2024,61
835166,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,2355,1,,,1,,,,,,4,1976,1,,,13.5,1/1,,,,,0,,,15 - garaža,pritličje,,13.5,13.5, garaža,,,460874.34,99462.01,2024,61
827192,1756,ČRNUČE,LJUBLJANA,2644,58,,,1,,,,,,3,2023,1,,1,12.5,1,,,,,0,,,16 - garažno parkirno mesto,,,12.5,12.5, garažni parkirni prostor,,,463977.98,107618.27,2024,61
883446,2680,NOVE JARŠE,LJUBLJANA,26,13,,,1,LJUBLJANA,ULICA HERMANA POTOČNIKA,21,,11,2,1974,1,,,34.6,1/1,,,,,0,,,2 - stanovanje,nadstropje,,34.6,34.6, bivalni prostor,,,464544.53,103860.32,2024,61
814563,2706,ZELENA JAMA,LJUBLJANA,404,11,,,1,,,,,4,14,1960,1,,,3.1,1/1,,,,,0,,,33 - klet,klet,,3.1,3.1, klet,,,464057.37,102810.94,2024,61
884124,1753,VIŽMARJE,LJUBLJANA,3514,8,,,1,LJUBLJANA,PIPANOVA POT,14,,8,2,2019,1,,,37,1/1,,,,,0,,,"5 - koča, dom",pritličje,,37,29.8," bivalni prostor | odprta terasa, balkon, loža",,,458541,107035.9,2024,61
808595,1723,VIČ,LJUBLJANA,9921,26,,,1,,,,,,3,2014,1,,,12.5,1/1,,,,,0,,,16 - garažno parkirno mesto,klet,,12.5,12.5, garažni parkirni prostor,,,458351.6,100503.05,2024,61
827264,1756,ČRNUČE,LJUBLJANA,2644,157,,,1,,,,,,3,2023,1,,1,12.5,1,,,,,0,,,16 - garažno parkirno mesto,,,12.5,12.5, garažni parkirni prostor,,,463977.98,107618.27,2024,61
