ID_POSLA,VRSTA_KUPOPRODAJNEGA_POSLA,DATUM_UVELJAVITVE,DATUM_SKLENITVE_POGODBE,POGODBENA_CENA_ODSKODNINA,VKLJUCENOST_DDV,STOPNJA_DDV,DATUM_IZTEKA_LIZINGA,DATUM_PRENEHANJA_LIZINGA,OPOMBE_O_PRAVNEM_POSLU,POSREDOVANJE_NEPREMICNINSKE_AGENCIJE,DATUM_ZADNJE_SPREMEMBE_POSLA,DATUM_ZADNJE_UVELJAVITVE_POSLA,VRSTA_AKTA,TRZNOST_POSLA,LETO,RPE_OBCINE_SIFRA
885734,1,16.12.2024,21.10.2024,355000,0,,,,,,15.04.2025,16.12.2024,1,1,2024,61
809546,1,17.01.2024,29.11.2023,515000,0,,,,,,15.04.2025,17.01.2024,1,2,2024,61
818036,1,15.04.2024,12.03.2024,365000,0,,,,,,15.04.2025,15.04.2024,1,2,2024,61
813612,1,29.02.2024,22.01.2024,358419.36,1,3,,,,,15.04.2025,29.02.2024,1,2,2024,61
827157,1,31.07.2024,27.05.2021,261163,1,3,,,IZROČITEV MARCA 2024,,15.04.2025,31.07.2024,1,1,2024,61
826954,1,29.07.2024,14.09.2021,398070,1,3,,,IZROČITEV 31.3.2024,,15.04.2025,29.07.2024,1,1,2024,61
815197,3,15.03.2024,24.01.2024,3000,0,,,,,,15.04.2025,15.03.2024,1,4,2024,61
820686,1,16.05.2024,09.04.2024,258000,0,,,,,,15.04.2025,16.05.2024,1,1,2024,61
827978,1,15.08.2024,19.06.2024,29500,0,,,,,,15.04.2025,15.08.2024,1,1,2024,61
831145,1,09.09.2024,31.07.2024,400000,0,,,,,,15.04.2025,09.09.2024,1,2,2024,61
883816,1,19.11.2024,03.10.2024,250000,0,,,,,,15.04.2025,19.11.2024,1,1,2024,61
834437,1,16.10.2024,07.09.2024,25000,0,,,,,,15.04.2025,16.10.2024,1,1,2024,61
882870,1,18.11.2024,24.09.2024,20000,0,,,,,,15.04.2025,18.11.2024,1,3,2024,61
823176,1,17.06.2024,13.05.2024,11000,0,,,,,,15.04.2025,17.06.2024,1,3,2024,61
809810,1,18.01.2024,06.12.2023,171000,0,,,,,,15.04.2025,18.01.2024,1,1,2024,61
818505,1,16.04.2024,20.03.2024,14500,0,,,,,,15.04.2025,16.04.2024,1,1,2024,61
815807,1,16.03.2024,12.02.2024,13000,0,,,,,,15.04.2025,16.03.2024,1,1,2024,61
821001,1,16.05.2024,17.04.2024,227000,0,,,,,,15.04.2025,16.05.2024,1,1,2024,61
827102,1,31.07.2024,15.11.2021,211256,1,3,,,IZROČITEV MAREC 2024,,15.04.2025,31.07.2024,1,1,2024,61
830161,1,04.09.2024,06.08.2024,111264,1,4,,,"Prodaja nepremičnin na podlagi konkretne pogodbe je predmet obdavčitve z DDV v skladu s 45. členom ZDDV-1, saj je bil predmet te pogodbe tudi pisni dogovor o obdavčitvi predmetne prodaje. V skladu s c) točko 76.a člena ZDDV-1 bo kupec od zneska kupnine 91.200,00 EUR obračunal in plačal 22% DDV, ki znaša 20.064,00 EUR, in sicer na način, da bo kupec opravili v svojih davčnih evidencah t.i. samoobdavčitev.",,15.04.2025,04.09.2024,1,2,2024,61
817736,1,15.04.2024,04.03.2024,12000,0,,,,,,15.04.2025,15.04.2024,1,1,2024,61
886604,1,16.12.2024,13.11.2024,130000,0,,,,,,15.04.2025,16.12.2024,1,1,2024,61
813811,1,04.03.2024,13.12.2023,25000,1,4,,,,,11.03.2024,04.03.2024,1,5,2024,61
810373,1,24.01.2024,24.11.2023,300000,0,,,,,,15.04.2025,24.01.2024,1,2,2024,61
815196,1,15.03.2024,30.01.2024,425500,0,,,,,,15.04.2025,15.03.2024,1,2,2024,61
822088,1,17.06.2024,05.04.2024,450000,0,,,,,,15.04.2025,17.06.2024,1,2,2024,61
883759,1,19.11.2024,09.10.2024,250000,0,,,,,,15.04.2025,19.11.2024,1,1,2024,61
813686,1,01.03.2024,20.11.2023,331663.56,1,3,,,,,15.04.2025,01.03.2024,1,2,2024,61
834820,1,17.10.2024,24.05.2024,120000,0,,,,,,15.04.2025,17.10.2024,1,3,2024,61
814566,1,15.03.2024,26.01.2024,25000,0,,,,,,15.04.2025,15.03.2024,1,1,2024,61
819407,1,15.05.2024,11.03.2024,13500,0,,,,,,15.04.2025,15.05.2024,1,2,2024,61
883049,1,18.11.2024,30.09.2024,450000,0,,,,,,15.04.2025,18.11.2024,1,1,2024,61
823844,1,18.06.2024,28.05.2024,156500,0,,,,,,15.04.2025,18.06.2024,1,1,2024,61
824696,1,15.07.2024,19.12.2023,460000,1,3,,,,,15.04.2025,15.07.2024,1,2,2024,61
824542,1,10.07.2024,17.06.2024,615000,1,3,,,,,15.04.2025,10.07.2024,1,2,2024,61
828467,1,15.08.2024,01.07.2024,218500,0,,,,,,15.04.2025,15.08.2024,1,1,2024,61
811178,1,15.02.2024,11.12.2023,31000,0,,,,,,15.04.2025,15.02.2024,1,3,2024,61
884157,1,19.11.2024,17.10.2024,255000,0,,,,,,15.04.2025,19.11.2024,1,2,2024,61
828240,1,15.08.2024,26.06.2024,182000,0,,,,,,15.04.2025,15.08.2024,1,1,2024,61
889584,1,21.12.2024,14.02.2024,161000,0,,,,,,15.04.2025,21.12.2024,1,2,2024,61
883900,1,19.11.2024,12.10.2024,217000,0,,,,,,15.04.2025,19.11.2024,1,1,2024,61
830457,1,09.09.2024,09.07.2024,216014.62,0,,,,,,15.04.2025,09.09.2024,1,3,2024,61
