SIFRA_KO_A,IME_KO_A,SIFRA_KO_B,IME_KO_B
1695,KARLOVŠKO PREDMESTJE,1722,TRNOVSKO PREDMESTJE
1695,KARLOVŠKO PREDMESTJE,2677,PRULE
1695,KARLOVŠKO PREDMESTJE,2678,GOLOVEC
1695,KARLOVŠKO PREDMESTJE,1696,RUDNIK
1695,KARLOVŠKO PREDMESTJE,1732,ŠTEPANJA VAS
1696,RUDNIK,1733,BIZOVIK
1696,RUDNIK,1773,DOBRUNJE
1696,RUDNIK,1732,ŠTEPANJA VAS
1702,TOMIŠELJ,1722,TRNOVSKO PREDMESTJE
1749,GAMELJNE,1756,ČRNUČE
1749,GAMELJNE,1751,TACEN
1749,GAMELJNE,1750,ŠMARTNO POD ŠMARNO GORO
1750,ŠMARTNO POD ŠMARNO GORO,1751,TACEN
1751,TACEN,1753,VIŽMARJE
1751,TACEN,1752,STANEŽIČE
1752,STANEŽIČE,1755,GLINCE
1752,STANEŽIČE,1754,ŠENTVID NAD LJUBLJANO
1752,STANEŽIČE,1753,VIŽMARJE
1753,VIŽMARJE,1754,ŠENTVID NAD LJUBLJANO
1754,ŠENTVID NAD LJUBLJANO,1755,GLINCE
1720,KRAKOVSKO PREDMESTJE,1722,TRNOVSKO PREDMESTJE
1720,KRAKOVSKO PREDMESTJE,2679,GRADIŠČE II
1720,KRAKOVSKO PREDMESTJE,1728,LJUBLJANA MESTO
1720,KRAKOVSKO PREDMESTJE,1721,GRADIŠČE I
1721,GRADIŠČE I,2679,GRADIŠČE II
1721,GRADIŠČE I,1728,LJUBLJANA MESTO
1721,GRADIŠČE I,1725,AJDOVŠČINA
1722,TRNOVSKO PREDMESTJE,1994,DOBROVA
1722,TRNOVSKO PREDMESTJE,1723,VIČ
1722,TRNOVSKO PREDMESTJE,2679,GRADIŠČE II
1722,TRNOVSKO PREDMESTJE,2677,PRULE
1722,TRNOVSKO PREDMESTJE,1728,LJUBLJANA MESTO
1723,VIČ,1994,DOBROVA
1723,VIČ,2679,GRADIŠČE II
1723,VIČ,2682,BRDO
1723,VIČ,1982,ŠUJICA
1723,VIČ,1740,SPODNJA ŠIŠKA
1723,VIČ,1725,AJDOVŠČINA
1725,AJDOVŠČINA,2679,GRADIŠČE II
1725,AJDOVŠČINA,1740,SPODNJA ŠIŠKA
1725,AJDOVŠČINA,1728,LJUBLJANA MESTO
1725,AJDOVŠČINA,1737,TABOR
1725,AJDOVŠČINA,2636,BEŽIGRAD
1726,ŠENTPETER,1727,POLJANSKO PREDMESTJE
1726,ŠENTPETER,1731,UDMAT
1726,ŠENTPETER,1737,TABOR
1727,POLJANSKO PREDMESTJE,2677,PRULE
1727,POLJANSKO PREDMESTJE,2678,GOLOVEC
1727,POLJANSKO PREDMESTJE,1728,LJUBLJANA MESTO
1727,POLJANSKO PREDMESTJE,1731,UDMAT
1727,POLJANSKO PREDMESTJE,1737,TABOR
1728,LJUBLJANA MESTO,2677,PRULE
1728,LJUBLJANA MESTO,1737,TABOR
1729,ŠMARTNO OB SAVI,1730,MOSTE
1729,ŠMARTNO OB SAVI,2680,NOVE JARŠE
1729,ŠMARTNO OB SAVI,1771,ZADOBROVA
1729,ŠMARTNO OB SAVI,1735,STOŽICE
1729,ŠMARTNO OB SAVI,1759,PODGORICA
1730,MOSTE,1731,UDMAT
1730,MOSTE,1733,BIZOVIK
1730,MOSTE,1732,ŠTEPANJA VAS
1730,MOSTE,1772,SLAPE
1730,MOSTE,2680,NOVE JARŠE
1730,MOSTE,1771,ZADOBROVA
1730,MOSTE,2706,ZELENA JAMA
1730,MOSTE,2681,BRINJE II
1731,UDMAT,2678,GOLOVEC
1731,UDMAT,1732,ŠTEPANJA VAS
1731,UDMAT,1737,TABOR
1731,UDMAT,2706,ZELENA JAMA
1731,UDMAT,2636,BEŽIGRAD
1732,ŠTEPANJA VAS,2678,GOLOVEC
1732,ŠTEPANJA VAS,1733,BIZOVIK
1733,BIZOVIK,1773,DOBRUNJE
1733,BIZOVIK,1772,SLAPE
1734,JEŽICA,1735,STOŽICE
1734,JEŽICA,1756,ČRNUČE
1734,JEŽICA,1749,GAMELJNE
1734,JEŽICA,1738,DRAVLJE
